Run directory: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/duffing_stnn
Run name: duffing_stnn
Device: cuda
System: duffing | state_dim=2
Model type: stnn
Trainable parameters: 13,329
Epoch 001/140 | Train: 14.178378 | One-step: 7.603868
Epoch 002/140 | Train: 2.014181 | One-step: 1.078168
Epoch 003/140 | Train: 0.015728 | One-step: 0.008530
Epoch 004/140 | Train: 0.005072 | One-step: 0.002748
Epoch 005/140 | Train: 0.006630 | One-step: 0.003581
Epoch 006/140 | Train: 0.007632 | One-step: 0.004086
Epoch 007/140 | Train: 0.007010 | One-step: 0.003735
Epoch 008/140 | Train: 0.005744 | One-step: 0.002942
Epoch 009/140 | Train: 0.007278 | One-step: 0.003811
Epoch 010/140 | Train: 0.008348 | One-step: 0.004159
Epoch 011/140 | Train: 0.006497 | One-step: 0.003355
Epoch 012/140 | Train: 0.007195 | One-step: 0.003600
Epoch 013/140 | Train: 0.008292 | One-step: 0.004188
Epoch 014/140 | Train: 0.007372 | One-step: 0.003642
Epoch 015/140 | Train: 0.004844 | One-step: 0.002422
Epoch 016/140 | Train: 0.005851 | One-step: 0.002884
Epoch 017/140 | Train: 0.005380 | One-step: 0.002693
Epoch 018/140 | Train: 0.006770 | One-step: 0.003262
Epoch 019/140 | Train: 0.005879 | One-step: 0.002979
Epoch 020/140 | Train: 0.005209 | One-step: 0.002384 | Val one-step: 0.005315 | RMSE@40: 0.9490 | RMSE@120: 1.6109 | RMSE@240: 3.0095
Epoch 021/140 | Train: 0.008558 | One-step: 0.003966
Epoch 022/140 | Train: 0.006659 | One-step: 0.003134
Epoch 023/140 | Train: 0.006272 | One-step: 0.002906
Epoch 024/140 | Train: 0.005190 | One-step: 0.002320
Epoch 025/140 | Train: 0.004526 | One-step: 0.002002
Epoch 026/140 | Train: 0.004653 | One-step: 0.001973
Epoch 027/140 | Train: 0.006040 | One-step: 0.002655
Epoch 028/140 | Train: 0.004384 | One-step: 0.001989
Epoch 029/140 | Train: 0.004671 | One-step: 0.002021
Epoch 030/140 | Train: 0.005767 | One-step: 0.002597
Epoch 031/140 | Train: 0.004992 | One-step: 0.002076
Epoch 032/140 | Train: 0.004801 | One-step: 0.002033
Epoch 033/140 | Train: 0.004450 | One-step: 0.001908
Epoch 034/140 | Train: 0.004993 | One-step: 0.001944
Epoch 035/140 | Train: 0.004567 | One-step: 0.001867
Epoch 036/140 | Train: 0.005648 | One-step: 0.002374
Epoch 037/140 | Train: 0.006601 | One-step: 0.002631
Epoch 038/140 | Train: 0.005374 | One-step: 0.002194
Epoch 039/140 | Train: 0.005255 | One-step: 0.002119
Epoch 040/140 | Train: 0.004745 | One-step: 0.001881 | Val one-step: 0.002166 | RMSE@40: 0.6685 | RMSE@120: 1.2072 | RMSE@240: 1.2123
Epoch 041/140 | Train: 0.004332 | One-step: 0.001583
Epoch 042/140 | Train: 0.004019 | One-step: 0.001560
Epoch 043/140 | Train: 0.004210 | One-step: 0.001630
Epoch 044/140 | Train: 0.004111 | One-step: 0.001512
Epoch 045/140 | Train: 0.003959 | One-step: 0.001449
Epoch 046/140 | Train: 0.004055 | One-step: 0.001390
Epoch 047/140 | Train: 0.003466 | One-step: 0.001418
Epoch 048/140 | Train: 0.003291 | One-step: 0.001262
Epoch 049/140 | Train: 0.003171 | One-step: 0.001121
Epoch 050/140 | Train: 0.003684 | One-step: 0.001332
Epoch 051/140 | Train: 0.004076 | One-step: 0.001488
Epoch 052/140 | Train: 0.003906 | One-step: 0.001352
Epoch 053/140 | Train: 0.005387 | One-step: 0.001890
Epoch 054/140 | Train: 0.003938 | One-step: 0.001294
Epoch 055/140 | Train: 0.004514 | One-step: 0.001497
Epoch 056/140 | Train: 0.003705 | One-step: 0.001217
Epoch 057/140 | Train: 0.004440 | One-step: 0.001609
Epoch 058/140 | Train: 0.003807 | One-step: 0.001277
